size,insert,search,traverse,delete
5000,214.5,168.5,48182.1,199.4
10000,264.2,191.6,115849.1,253.6
15000,261.4,210.8,187512.4,409.6
20000,274.2,230.6,248226.0,404.9
25000,303.4,236.7,369862.6,341.1
30000,293.1,236.5,629668.0,345.6
35000,318.9,240.9,915221.9,334.6
40000,468.1,279.1,1310496.7,371.5
45000,355.9,257.7,1674720.7,383.4
50000,363.3,263.8,1868367.5,478.1
55000,342.8,249.6,2020555.7,481.8
60000,575.2,285.0,4762993.8,576.7
65000,499.6,266.7,4338599.3,508.3
70000,521.6,275.0,4413349.3,534.0
75000,793.8,342.5,6804417.8,1310.7
80000,817.0,392.1,11109833.4,812.5
85000,664.2,295.0,8215264.9,1218.9
90000,580.5,301.9,9037572.0,656.7
95000,757.7,352.0,12743168.9,717.6
100000,574.9,347.2,21484246.5,983.0
